Node ID,RDF URI,True Class,True URI,True Group Label,Predicted Class,Predicted URI,Predicted Group Label,Top Edge Index,Source URI,Predicate URI,Destination URI,Prediction Status
639,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id37instance,1,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance,Efficient Algorithms,1,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance,Efficient Algorithms,9063,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance,http://swrc.ontoware.org/ontology#carriedOutBy,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id37instance,Correct
639,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id37instance,1,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance,Efficient Algorithms,1,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance,Efficient Algorithms,14353,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id24instance,http://swrc.ontoware.org/ontology#member,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance,Correct
639,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id37instance,1,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance,Efficient Algorithms,1,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance,Efficient Algorithms,7251,http://www.aifb.uni-karlsruhe.de/Forschungsgebiete/viewForschungsgebietOWL/id65instance,http://www.aifb.uni-karlsruhe.de/WBS/dvr/owltools/merge/type,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id37instance,Correct
639,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id37instance,1,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance,Efficient Algorithms,1,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance,Efficient Algorithms,21892,http://www.aifb.uni-karlsruhe.de/Projekte/viewProjektOWL/id9instance,rel_77,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id37instance,Correct
639,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id37instance,1,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance,Efficient Algorithms,1,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance,Efficient Algorithms,18677,http://www.aifb.uni-karlsruhe.de/Projekte/viewProjektOWL/id1instance,rel_77,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id37instance,Correct
568,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2094instance,3,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id4instance,Complexity Management,2,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance,Knowledge Management,4439,http://swrc.ontoware.org/ontology#ResearchGroup,rel_83,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id4instance,Wrong
568,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2094instance,3,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id4instance,Complexity Management,2,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance,Knowledge Management,2003,http://swrc.ontoware.org/ontology#Person,rel_83,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2094instance,Wrong
568,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2094instance,3,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id4instance,Complexity Management,2,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance,Knowledge Management,10310,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id4instance,http://swrc.ontoware.org/ontology#carriedOutBy,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2094instance,Wrong
568,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2094instance,3,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id4instance,Complexity Management,2,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance,Knowledge Management,49967,+49 (721) 608 6591,rel_59,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2094instance,Wrong
568,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2094instance,3,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id4instance,Complexity Management,2,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance,Knowledge Management,33319,http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id1333instance,http://swrc.ontoware.org/ontology#carriesOut,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2094instance,Wrong
